date_key,date_value,day,month,month_name,quarter,year,day_of_week,is_weekend
20230301,2023-03-01 00:00:00,1,3,March,1,2023,2,0
20230302,2023-03-02 00:00:00,2,3,March,1,2023,3,0
20230303,2023-03-03 00:00:00,3,3,March,1,2023,4,0
20230304,2023-03-04 00:00:00,4,3,March,1,2023,5,1
20230305,2023-03-05 00:00:00,5,3,March,1,2023,6,1
20230306,2023-03-06 00:00:00,6,3,March,1,2023,0,0
20230307,2023-03-07 00:00:00,7,3,March,1,2023,1,0
20230308,2023-03-08 00:00:00,8,3,March,1,2023,2,0
20230309,2023-03-09 00:00:00,9,3,March,1,2023,3,0
20230310,2023-03-10 00:00:00,10,3,March,1,2023,4,0
20230311,2023-03-11 00:00:00,11,3,March,1,2023,5,1
20230312,2023-03-12 00:00:00,12,3,March,1,2023,6,1
20230313,2023-03-13 00:00:00,13,3,March,1,2023,0,0
20230314,2023-03-14 00:00:00,14,3,March,1,2023,1,0
20230315,2023-03-15 00:00:00,15,3,March,1,2023,2,0
20230316,2023-03-16 00:00:00,16,3,March,1,2023,3,0
20230317,2023-03-17 00:00:00,17,3,March,1,2023,4,0
20230318,2023-03-18 00:00:00,18,3,March,1,2023,5,1
20230319,2023-03-19 00:00:00,19,3,March,1,2023,6,1
20230320,2023-03-20 00:00:00,20,3,March,1,2023,0,0
20230321,2023-03-21 00:00:00,21,3,March,1,2023,1,0
20230322,2023-03-22 00:00:00,22,3,March,1,2023,2,0
20230323,2023-03-23 00:00:00,23,3,March,1,2023,3,0
20230324,2023-03-24 00:00:00,24,3,March,1,2023,4,0
20230325,2023-03-25 00:00:00,25,3,March,1,2023,5,1
20230326,2023-03-26 00:00:00,26,3,March,1,2023,6,1
20230327,2023-03-27 00:00:00,27,3,March,1,2023,0,0
20230328,2023-03-28 00:00:00,28,3,March,1,2023,1,0
20230329,2023-03-29 00:00:00,29,3,March,1,2023,2,0
20230330,2023-03-30 00:00:00,30,3,March,1,2023,3,0
20230331,2023-03-31 00:00:00,31,3,March,1,2023,4,0
20230401,2023-04-01 00:00:00,1,4,April,2,2023,5,1
20230402,2023-04-02 00:00:00,2,4,April,2,2023,6,1
20230403,2023-04-03 00:00:00,3,4,April,2,2023,0,0
20230404,2023-04-04 00:00:00,4,4,April,2,2023,1,0
20230405,2023-04-05 00:00:00,5,4,April,2,2023,2,0
20230406,2023-04-06 00:00:00,6,4,April,2,2023,3,0
20230407,2023-04-07 00:00:00,7,4,April,2,2023,4,0
20230408,2023-04-08 00:00:00,8,4,April,2,2023,5,1
20230409,2023-04-09 00:00:00,9,4,April,2,2023,6,1
20230410,2023-04-10 00:00:00,10,4,April,2,2023,0,0
20230411,2023-04-11 00:00:00,11,4,April,2,2023,1,0
20230412,2023-04-12 00:00:00,12,4,April,2,2023,2,0
20230413,2023-04-13 00:00:00,13,4,April,2,2023,3,0
20230414,2023-04-14 00:00:00,14,4,April,2,2023,4,0
20230415,2023-04-15 00:00:00,15,4,April,2,2023,5,1
20230416,2023-04-16 00:00:00,16,4,April,2,2023,6,1
20230417,2023-04-17 00:00:00,17,4,April,2,2023,0,0
20230418,2023-04-18 00:00:00,18,4,April,2,2023,1,0
20230419,2023-04-19 00:00:00,19,4,April,2,2023,2,0
20230420,2023-04-20 00:00:00,20,4,April,2,2023,3,0
20230421,2023-04-21 00:00:00,21,4,April,2,2023,4,0
20230422,2023-04-22 00:00:00,22,4,April,2,2023,5,1
20230423,2023-04-23 00:00:00,23,4,April,2,2023,6,1
20230424,2023-04-24 00:00:00,24,4,April,2,2023,0,0
20230425,2023-04-25 00:00:00,25,4,April,2,2023,1,0
20230426,2023-04-26 00:00:00,26,4,April,2,2023,2,0
20230427,2023-04-27 00:00:00,27,4,April,2,2023,3,0
20230428,2023-04-28 00:00:00,28,4,April,2,2023,4,0
20230429,2023-04-29 00:00:00,29,4,April,2,2023,5,1
20230430,2023-04-30 00:00:00,30,4,April,2,2023,6,1
20230501,2023-05-01 00:00:00,1,5,May,2,2023,0,0
20230502,2023-05-02 00:00:00,2,5,May,2,2023,1,0
20230503,2023-05-03 00:00:00,3,5,May,2,2023,2,0
20230504,2023-05-04 00:00:00,4,5,May,2,2023,3,0
20230505,2023-05-05 00:00:00,5,5,May,2,2023,4,0
20230506,2023-05-06 00:00:00,6,5,May,2,2023,5,1
20230507,2023-05-07 00:00:00,7,5,May,2,2023,6,1
20230508,2023-05-08 00:00:00,8,5,May,2,2023,0,0
20230509,2023-05-09 00:00:00,9,5,May,2,2023,1,0
20230510,2023-05-10 00:00:00,10,5,May,2,2023,2,0
20230511,2023-05-11 00:00:00,11,5,May,2,2023,3,0
